"log_id","sheet","row","column","severity","category","raw_value","action_taken","confidence"
"1","LOT I01-VDSTP","","Type","WARNING","unmapped_column","Type","Column 'Type' (normalized: 'type') not matched — stored as unmapped_8",""
"2","LOT I01-VDSTP","","APPROBATEURS","WARNING","unmapped_column","APPROBATEURS","Column 'APPROBATEURS' (normalized: 'approbateurs') not matched — stored as unmapped_15",""
"3","LOT I01-VDSTP","","col_39","WARNING","unknown_approver","OBSERVATIONS","Approver name 'OBSERVATIONS' not matched to any canonical key",""
"4","LOT I02-FKI","","Type","WARNING","unmapped_column","Type","Column 'Type' (normalized: 'type') not matched — stored as unmapped_8",""
"5","LOT I02-FKI","","APPROBATEURS","WARNING","unmapped_column","APPROBATEURS","Column 'APPROBATEURS' (normalized: 'approbateurs') not matched — stored as unmapped_15",""
"6","LOT I02-FKI","","col_39","WARNING","unknown_approver","OBSERVATIONS","Approver name 'OBSERVATIONS' not matched to any canonical key",""
"7","LOT 03-GOE-LGD","","Type","WARNING","unmapped_column","Type","Column 'Type' (normalized: 'type') not matched — stored as unmapped_10",""
"8","LOT 03-GOE-LGD","","APPROBATEURS","WARNING","unmapped_column","APPROBATEURS","Column 'APPROBATEURS' (normalized: 'approbateurs') not matched — stored as unmapped_17",""
"9","LOT 03-GOE-LGD","","col_41","WARNING","unknown_approver","OBSERVATIONS","Approver name 'OBSERVATIONS' not matched to any canonical key",""
"10","LOT 03-GOE-LGD",10,"SOCOTEC_date","ERROR","corrupted_date","16/2/2024
31/05/2024","Date string '16/2/2024
31/05/2024' could not be parsed — set to null",""
"11","LOT 03-GOE-LGD",10,"SOCOTEC_statut","INFO","multi_value_status","REF
FAV","Multi-value status detected: ['REF', 'FAV']. Taking last value: 'FAV'",""
"12","LOT 03-GOE-LGD",16,"SOCOTEC_date","ERROR","corrupted_date","16/2/2024
31/052024","Date string '16/2/2024
31/052024' could not be parsed — set to null",""
"13","LOT 03-GOE-LGD",16,"SOCOTEC_statut","INFO","multi_value_status","SUS
FAV","Multi-value status detected: ['SUS', 'FAV']. Taking last value: 'FAV'",""
"14","LOT 03-GOE-LGD",30,"MOEX_GEMO_date","ERROR","corrupted_date","VAO","Date string 'VAO' could not be parsed — set to null",""
"15","LOT 03-GOE-LGD",125,"BET_STR_TERRELL_date","ERROR","corrupted_date","C","Date string 'C' could not be parsed — set to null",""
"16","LOT 03-GOE-LGD",129,"SOCOTEC_statut","WARNING","unknown_status","S","Unknown approver status 'S' — set to null",""
"17","LOT 03-GOE-LGD",172,"SOCOTEC_statut","WARNING","ambiguous_status","VSA","Ambiguous approver status 'VSA' — set to null",""
"18","LOT 03-GOE-LGD",451,"SOCOTEC_statut","WARNING","unknown_status","S","Unknown approver status 'S' — set to null",""
"19","LOT 03-GOE-LGD",458,"SOCOTEC_statut","WARNING","unknown_status","F","Unknown approver status 'F' — set to null",""
"20","LOT 03-GOE-LGD",497,"MOEX_GEMO_date","ERROR","corrupted_date","#VALUE!","Date string '#VALUE!' could not be parsed — set to null",""
"21","LOT 03-GOE-LGD",536,"MOEX_GEMO_statut","INFO","multi_value_status","SAS
VSO","Multi-value status detected: ['SAS', 'VSO']. Taking last value: 'VSO'",""
"22","LOT 03-GOE-LGD",589,"ARCHI_MOX_date","ERROR","corrupted_date","#VALUE!","Date string '#VALUE!' could not be parsed — set to null",""
"23","LOT 03-GOE-LGD",614,"AMO_HQE_LE_SOMMER_date","ERROR","corrupted_date","025-09-25","Date string '025-09-25' could not be parsed — set to null",""
"24","LOT 03-GOE-LGD",654,"AMO_HQE_LE_SOMMER_date","ERROR","corrupted_date","11/069/2025","Date string '11/069/2025' could not be parsed — set to null",""
"25","LOT 03-GOE-LGD",694,"BET_STR_TERRELL_date","WARNING","date_out_of_range","5025-07-17 00:00:00","Parsed date 5025-07-17 outside project range [2020-01-01, 2030-12-31] — set to null",""
"26","LOT 03-GOE-LGD",713,"AMO_HQE_LE_SOMMER_date","ERROR","corrupted_date","#VALUE!","Date string '#VALUE!' could not be parsed — set to null",""
"27","LOT 03-GOE-LGD",774,"BET_STR_TERRELL_date","ERROR","corrupted_date","01/08//2025","Date string '01/08//2025' could not be parsed — set to null",""
"28","LOT 03-GOE-LGD",946,"BET_STR_TERRELL_statut","WARNING","unknown_status","hHM","Unknown approver status 'HHM' — set to null",""
"29","LOT 04-06-ETANCH-COUV-SMAC","","Type","WARNING","unmapped_column","Type","Column 'Type' (normalized: 'type') not matched — stored as unmapped_9",""
"30","LOT 04-06-ETANCH-COUV-SMAC","","APPROBATEURS","WARNING","unmapped_column","APPROBATEURS","Column 'APPROBATEURS' (normalized: 'approbateurs') not matched — stored as unmapped_16",""
"31","LOT 04-06-ETANCH-COUV-SMAC","","col_34","WARNING","unknown_approver","OBSERVATIONS","Approver name 'OBSERVATIONS' not matched to any canonical key",""
"32","LOT 04-06-ETANCH-COUV-SMAC",39,"AMO_HQE_LE_SOMMER_date","ERROR","corrupted_date","15/092025","Date string '15/092025' could not be parsed — set to null",""
"33","LOT B06-AH07-BFUP-CAS BA-LGD","","NIV","WARNING","unmapped_column","NIV","Column 'NIV' (normalized: 'niv') not matched — stored as unmapped_10",""
"34","LOT B06-AH07-BFUP-CAS BA-LGD","","Type","WARNING","unmapped_column","Type","Column 'Type' (normalized: 'type') not matched — stored as unmapped_11",""
"35","LOT B06-AH07-BFUP-CAS BA-LGD","","APPROBATEURS","WARNING","unmapped_column","APPROBATEURS","Column 'APPROBATEURS' (normalized: 'approbateurs') not matched — stored as unmapped_18",""
"36","LOT B06-AH07-BFUP-CAS BA-LGD","","col_42","WARNING","unknown_approver","OBSERVATIONS","Approver name 'OBSERVATIONS' not matched to any canonical key",""
"37","LOT B06-AH07-BFUP-CAS BA-LGD",10,"document","INFO","missing_p_prefix","17_T2_GE_EXE_LGD_FAC_B006_NDC_BZ_TX_132000","Prepended missing 'P' prefix: result = 'P17_T2_GE_EXE_LGD_FAC_B006_NDC_BZ_TX_132000'",""
"38","LOT B06-AH07-BFUP-CAS BA-LGD",12,"document","INFO","missing_p_prefix","17_T2_GE_EXE_LGD_FAC_B006_NDC_BZ_TX_132001","Prepended missing 'P' prefix: result = 'P17_T2_GE_EXE_LGD_FAC_B006_NDC_BZ_TX_132001'",""
"39","LOT B06-AH07-BFUP-CAS BA-LGD",39,"MOEX_GEMO_date","ERROR","corrupted_date","#VALUE!","Date string '#VALUE!' could not be parsed — set to null",""
"40","LOT B06-AH07-BFUP-CAS BA-LGD",40,"MOEX_GEMO_date","WARNING","date_out_of_range","1958-08-04 00:00:00","Parsed date 1958-08-04 outside project range [2020-01-01, 2030-12-31] — set to null",""
"41","LOT B06-AH07-BFUP-CAS BA-LGD",41,"MOEX_GEMO_date","WARNING","date_out_of_range","1958-08-06 00:00:00","Parsed date 1958-08-06 outside project range [2020-01-01, 2030-12-31] — set to null",""
"42","LOT 05-MEN EXT-ICM","","Type","WARNING","unmapped_column","Type","Column 'Type' (normalized: 'type') not matched — stored as unmapped_9",""
"43","LOT 05-MEN EXT-ICM","","APPROBATEURS","WARNING","unmapped_column","APPROBATEURS","Column 'APPROBATEURS' (normalized: 'approbateurs') not matched — stored as unmapped_16",""
"44","LOT 05-MEN EXT-ICM","","col_34","WARNING","unknown_approver","OBSERVATIONS","Approver name 'OBSERVATIONS' not matched to any canonical key",""
"45","LOT 05-MEN EXT-ICM",58,"SOCOTEC_statut","WARNING","unknown_status","DEFAV","Unknown approver status 'DEFAV' — set to null",""
"46","LOT 05-MEN EXT-ICM",65,"AMO_HQE_LE_SOMMER_date","ERROR","corrupted_date","112/09/2025","Date string '112/09/2025' could not be parsed — set to null",""
"47","LOT 05-MEN EXT-ICM",82,"SOCOTEC_statut","WARNING","unknown_status","Défav","Unknown approver status 'DÉFAV' — set to null",""
"48","LOT 05-MEN EXT-ICM",84,"BET_ELIOTH_date","ERROR","corrupted_date","31/810/2025","Date string '31/810/2025' could not be parsed — set to null",""
"49","LOT AH06-RVT FAC - FND ","","Type","WARNING","unmapped_column","Type","Column 'Type' (normalized: 'type') not matched — stored as unmapped_9",""
"50","LOT AH06-RVT FAC - FND ","","APPROBATEURS","WARNING","unmapped_column","APPROBATEURS","Column 'APPROBATEURS' (normalized: 'approbateurs') not matched — stored as unmapped_16",""
"51","LOT AH06-RVT FAC - FND ","","col_34","WARNING","unknown_approver","OBSERVATIONS","Approver name 'OBSERVATIONS' not matched to any canonical key",""
"52","LOT AH06-RVT FAC - FND ",39,"ARCHI_MOX_statut","WARNING","unknown_status",".","Unknown approver status '' — set to null",""
"53","LOT 08-MUR-RID-DUV","","Type","WARNING","unmapped_column","Type","Column 'Type' (normalized: 'type') not matched — stored as unmapped_9",""
"54","LOT 08-MUR-RID-DUV","","APPROBATEURS","WARNING","unmapped_column","APPROBATEURS","Column 'APPROBATEURS' (normalized: 'approbateurs') not matched — stored as unmapped_16",""
"55","LOT 08-MUR-RID-DUV","","col_34","WARNING","unknown_approver","OBSERVATIONS","Approver name 'OBSERVATIONS' not matched to any canonical key",""
"56","LOT 11 - 16A -AMP-CLD - FPL","","Type","WARNING","unmapped_column","Type","Column 'Type' (normalized: 'type') not matched — stored as unmapped_9",""
"57","LOT 11 - 16A -AMP-CLD - FPL","","APPROBATEURS","WARNING","unmapped_column","APPROBATEURS","Column 'APPROBATEURS' (normalized: 'approbateurs') not matched — stored as unmapped_16",""
"58","LOT 11 - 16A -AMP-CLD - FPL","","col_34","WARNING","unknown_approver","OBSERVATIONS","Approver name 'OBSERVATIONS' not matched to any canonical key",""
"59","LOT 11 - 16A -AMP-CLD - FPL",44,"MOEX_GEMO_date","WARNING","date_out_of_range","23/10/0205","Parsed date 0205-10-23 outside project range [2020-01-01, 2030-12-31] — set to null",""
"60","Lot 12-LAC-MEN","","Type","WARNING","unmapped_column","Type","Column 'Type' (normalized: 'type') not matched — stored as unmapped_9",""
"61","Lot 12-LAC-MEN","","APPROBATEURS","WARNING","unmapped_column","APPROBATEURS","Column 'APPROBATEURS' (normalized: 'approbateurs') not matched — stored as unmapped_16",""
"62","Lot 12-LAC-MEN","","col_34","WARNING","unknown_approver","OBSERVATIONS","Approver name 'OBSERVATIONS' not matched to any canonical key",""
"63","LOT 14-PORTE-PK-FER","","Type","WARNING","unmapped_column","Type","Column 'Type' (normalized: 'type') not matched — stored as unmapped_9",""
"64","LOT 14-PORTE-PK-FER","","APPROBATEURS","WARNING","unmapped_column","APPROBATEURS","Column 'APPROBATEURS' (normalized: 'approbateurs') not matched — stored as unmapped_16",""
"65","LOT 14-PORTE-PK-FER","","col_34","WARNING","unknown_approver","OBSERVATIONS","Approver name 'OBSERVATIONS' not matched to any canonical key",""
"66","LOT 14-PORTE-PK-FER",10,"document","INFO","trailing_punctuation","P17_T2_GE_EXE_FER_SER_I014_PLN_TZ_R0_000001_A.","Stripped trailing punctuation: 'P17_T2_GE_EXE_FER_SER_I014_PLN_TZ_R0_000001_A.' -> 'P17_T2_GE_EXE_FER_SER_I014_PLN_TZ_R0_000001_A'",""
"67","LOT 16B-FP RAYON-LINDNER","","Type","WARNING","unmapped_column","Type","Column 'Type' (normalized: 'type') not matched — stored as unmapped_9",""
"68","LOT 16B-FP RAYON-LINDNER","","APPROBATEURS","WARNING","unmapped_column","APPROBATEURS","Column 'APPROBATEURS' (normalized: 'approbateurs') not matched — stored as unmapped_16",""
"69","LOT 16B-FP RAYON-LINDNER","","col_37","WARNING","unknown_approver","OBSERVATIONS","Approver name 'OBSERVATIONS' not matched to any canonical key",""
"70","LOT 16B-FP RAYON-LINDNER",17,"ARCHI_MOX_date","WARNING","date_out_of_range","18/6/1015","Parsed date 1015-06-18 outside project range [2020-01-01, 2030-12-31] — set to null",""
"71","LOT B17-BX-FPR-BANGUI","","Type","WARNING","unmapped_column","Type","Column 'Type' (normalized: 'type') not matched — stored as unmapped_9",""
"72","LOT B17-BX-FPR-BANGUI","","APPROBATEURS","WARNING","unmapped_column","APPROBATEURS","Column 'APPROBATEURS' (normalized: 'approbateurs') not matched — stored as unmapped_16",""
"73","LOT B17-BX-FPR-BANGUI","","col_34","WARNING","unknown_approver","OBSERVATIONS","Approver name 'OBSERVATIONS' not matched to any canonical key",""
"74","LOT B17-BX-FPR-BANGUI",18,"ARCHI_MOX_date","ERROR","corrupted_date","09/072025","Date string '09/072025' could not be parsed — set to null",""
"75","LOT B17-BX-FPR-BANGUI",19,"ARCHI_MOX_date","ERROR","corrupted_date","09/072026","Date string '09/072026' could not be parsed — set to null",""
