"row_id","doc_family_key","source_sheet","exclusion_reason","visa_global"
"18_34","P17T2AUEXEAPIGTBA035LSTAZTX248000","LOT 35-GTB-APILOG","VISA_RESOLVED","VAO"
"19_334","P17T2AUEXEAXICVCA041LSTAZTX249101","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_337","P17T2AUEXEAXICVCA041LSTAZTX249101","LOT 41-CVC-AXIMA","VISA_RESOLVED","VSO"
"19_332","P17T2AUEXEAXICVCA041LSTHZTX249101","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_458","P17T2AUEXEAXICVCA041LTEAZS1249901","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_387","P17T2AUEXEAXICVCA041MATAZTX249501","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_388","P17T2AUEXEAXICVCA041MATAZTX249506","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_389","P17T2AUEXEAXICVCA041MATAZTX249506","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_390","P17T2AUEXEAXICVCA041MATAZTX249506","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_391","P17T2AUEXEAXICVCA041MATAZTX249508","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_392","P17T2AUEXEAXICVCA041MATAZTX249510","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_393","P17T2AUEXEAXICVCA041MATAZTX249510","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_394","P17T2AUEXEAXICVCA041MATAZTX249510","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_396","P17T2AUEXEAXICVCA041MATAZTX249510","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_395","P17T2AUEXEAXICVCA041MATAZTX249511","LOT 41-CVC-AXIMA","NOT_LATEST","REF"
"19_397","P17T2AUEXEAXICVCA041MATAZTX249511","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_398","P17T2AUEXEAXICVCA041MATAZTX249511","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_399","P17T2AUEXEAXICVCA041MATAZTX249511","LOT 41-CVC-AXIMA","NOT_LATEST","HM"
"19_400","P17T2AUEXEAXICVCA041MATAZTX249511","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_402","P17T2AUEXEAXICVCA041MATAZTX249512","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_403","P17T2AUEXEAXICVCA041MATAZTX249512","LOT 41-CVC-AXIMA","NOT_LATEST","REF"
"19_404","P17T2AUEXEAXICVCA041MATAZTX249512","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_405","P17T2AUEXEAXICVCA041MATAZTX249514","LOT 41-CVC-AXIMA","VISA_RESOLVED","REF"
"19_408","P17T2AUEXEAXICVCA041MATAZTX249519","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_410","P17T2AUEXEAXICVCA041MATAZTX249520","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_411","P17T2AUEXEAXICVCA041MATAZTX249521","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_412","P17T2AUEXEAXICVCA041MATAZTX249521","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_413","P17T2AUEXEAXICVCA041MATAZTX249522","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_414","P17T2AUEXEAXICVCA041MATAZTX249523","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_415","P17T2AUEXEAXICVCA041MATAZTX249524","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_416","P17T2AUEXEAXICVCA041MATAZTX249524","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_417","P17T2AUEXEAXICVCA041MATAZTX249524","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_418","P17T2AUEXEAXICVCA041MATAZTX249524","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_419","P17T2AUEXEAXICVCA041MATAZTX249525","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_420","P17T2AUEXEAXICVCA041MATAZTX249525","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_421","P17T2AUEXEAXICVCA041MATAZTX249527","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_422","P17T2AUEXEAXICVCA041MATAZTX249529","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_423","P17T2AUEXEAXICVCA041MATAZTX249529","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_424","P17T2AUEXEAXICVCA041MATAZTX249532","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_425","P17T2AUEXEAXICVCA041MATAZTX249532","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_427","P17T2AUEXEAXICVCA041MATAZTX249533A","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_426","P17T2AUEXEAXICVCA041MATAZTX249534","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_428","P17T2AUEXEAXICVCA041MATAZTX249534","LOT 41-CVC-AXIMA","VISA_RESOLVED","VSO"
"19_429","P17T2AUEXEAXICVCA041MATAZTX249536B","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_430","P17T2AUEXEAXICVCA041MATAZTX249537","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_432","P17T2AUEXEAXICVCA041MATAZTX249538A","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_433","P17T2AUEXEAXICVCA041MATAZTX249539","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_434","P17T2AUEXEAXICVCA041MATAZTX249540","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_435","P17T2AUEXEAXICVCA041MATAZTX249542","LOT 41-CVC-AXIMA","VISA_RESOLVED","FAV"
"19_338","P17T2AUEXEAXICVCA041NDCAZTX249203","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_328","P17T2AUEXEAXICVCA041NDCAZTX249211","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_329","P17T2AUEXEAXICVCA041NDCAZTX249211","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_330","P17T2AUEXEAXICVCA041NDCAZTX249211","LOT 41-CVC-AXIMA","NOT_LATEST","VSO"
"19_339","P17T2AUEXEAXICVCA041NDCAZTX249211","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_340","P17T2AUEXEAXICVCA041NDCAZTX249211","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_331","P17T2AUEXEAXICVCA041NDCAZTX249212","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_341","P17T2AUEXEAXICVCA041NDCAZTX249212","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_342","P17T2AUEXEAXICVCA041NDCAZTX249212","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_343","P17T2AUEXEAXICVCA041NDCAZTX249213","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_344","P17T2AUEXEAXICVCA041NDCAZTX249213","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_345","P17T2AUEXEAXICVCA041NDCAZTX249213","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_346","P17T2AUEXEAXICVCA041NDCAZTX249213","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_351","P17T2AUEXEAXICVCA041NDCAZTX249241","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_355","P17T2AUEXEAXICVCA041NDCAZTX249242","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_358","P17T2AUEXEAXICVCA041NDCAZTX249246","LOT 41-CVC-AXIMA","NOT_LATEST","HM"
"19_359","P17T2AUEXEAXICVCA041NDCAZTX249246","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_360","P17T2AUEXEAXICVCA041NDCAZTX249246","LOT 41-CVC-AXIMA","NOT_LATEST","HM"
"19_348","P17T2AUEXEAXICVCA041NDCAZTX249251","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_350","P17T2AUEXEAXICVCA041NDCAZTX249251","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_363","P17T2AUEXEAXICVCA041NDCAZTX249251","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_364","P17T2AUEXEAXICVCA041NDCAZTX249251","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_365","P17T2AUEXEAXICVCA041NDCAZTX249251","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_366","P17T2AUEXEAXICVCA041NDCAZTX249252","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_368","P17T2AUEXEAXICVCA041NDCAZTX249252","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_369","P17T2AUEXEAXICVCA041NDCAZTX249252","LOT 41-CVC-AXIMA","NOT_LATEST","REF"
"19_370","P17T2AUEXEAXICVCA041NDCAZTX249252","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_371","P17T2AUEXEAXICVCA041NDCAZTX249253","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_372","P17T2AUEXEAXICVCA041NDCAZTX249254","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_373","P17T2AUEXEAXICVCA041NDCAZTX249254","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_367","P17T2AUEXEAXICVCA041NDCAZTX249261","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_375","P17T2AUEXEAXICVCA041NDCAZTX249261","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_382","P17T2AUEXEAXICVCA041NDCAZTX249501","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_437","P17T2AUEXEAXICVCA041RSXAZR0249610","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_439","P17T2AUEXEAXICVCA041RSXAZR1249611","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_441","P17T2AUEXEAXICVCA041RSXAZR2249612","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_443","P17T2AUEXEAXICVCA041RSXAZR3249613","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_444","P17T2AUEXEAXICVCA041RSXAZR3249613","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_445","P17T2AUEXEAXICVCA041RSXAZR3249613","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_446","P17T2AUEXEAXICVCA041RSXAZR4249614","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_447","P17T2AUEXEAXICVCA041RSXAZR4249614","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_448","P17T2AUEXEAXICVCA041RSXAZR5249615","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_449","P17T2AUEXEAXICVCA041RSXAZR5249615","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_450","P17T2AUEXEAXICVCA041RSXAZR6249616","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_451","P17T2AUEXEAXICVCA041RSXAZR6249616","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_453","P17T2AUEXEAXICVCA041RSXAZR7249617","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_454","P17T2AUEXEAXICVCA041RSXAZR7249617","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_456","P17T2AUEXEAXICVCA041RSXAZR8249618","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_376","P17T2AUEXEAXICVCA041SYQAZTX249311","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_377","P17T2AUEXEAXICVCA041SYQAZTX249311","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_378","P17T2AUEXEAXICVCA041SYQAZTX249311","LOT 41-CVC-AXIMA","NOT_LATEST","VAO"
"19_379","P17T2AUEXEAXICVCA041SYQAZTX249311","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_383","P17T2AUEXEAXICVCA041SYQAZTX249342","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_384","P17T2AUEXEAXICVCA041SYQAZTX249342","LOT 41-CVC-AXIMA","NOT_LATEST",""
"19_385","P17T2AUEXEAXICVCA041SYQAZTX249342","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"19_386","P17T2AUEXEAXICVCA041SYQAZTX249344","LOT 41-CVC-AXIMA","VISA_RESOLVED","VAO"
"7_59","P17T2AUEXEDUVMEXA008DETAZR0234020","LOT 08-MUR-RID-DUV","NOT_LATEST","VAO"
