"source_sheet","source_row","row_id","row_quality","row_quality_details","document_raw","document","titre","date_diffusion_raw","date_diffusion","lot","type_doc","niv","zone","n_doc","ind_raw","ind","type_format","ancien","n_bdx","date_reception_raw","date_reception","non_recu_papier","date_contractuelle_visa_raw","date_contractuelle_visa","visa_global_raw","visa_global","observations","assigned_approvers","MOEX_GEMO_date_raw","MOEX_GEMO_date","MOEX_GEMO_n","MOEX_GEMO_statut_raw","MOEX_GEMO_statut","ARCHI_MOX_date_raw","ARCHI_MOX_date","ARCHI_MOX_n","ARCHI_MOX_statut_raw","ARCHI_MOX_statut","BET_STR_TERRELL_date_raw","BET_STR_TERRELL_date","BET_STR_TERRELL_n","BET_STR_TERRELL_statut_raw","BET_STR_TERRELL_statut","BET_GEOLIA_G4_date_raw","BET_GEOLIA_G4_date","BET_GEOLIA_G4_n","BET_GEOLIA_G4_statut_raw","BET_GEOLIA_G4_statut","ACOUSTICIEN_AVLS_date_raw","ACOUSTICIEN_AVLS_date","ACOUSTICIEN_AVLS_n","ACOUSTICIEN_AVLS_statut_raw","ACOUSTICIEN_AVLS_statut","AMO_HQE_LE_SOMMER_date_raw","AMO_HQE_LE_SOMMER_date","AMO_HQE_LE_SOMMER_n","AMO_HQE_LE_SOMMER_statut_raw","AMO_HQE_LE_SOMMER_statut","BET_POLLUTION_DIE_date_raw","BET_POLLUTION_DIE_date","BET_POLLUTION_DIE_n","BET_POLLUTION_DIE_statut_raw","BET_POLLUTION_DIE_statut","SOCOTEC_date_raw","SOCOTEC_date","SOCOTEC_n","SOCOTEC_statut_raw","SOCOTEC_statut","BET_ELIOTH_date_raw","BET_ELIOTH_date","BET_ELIOTH_n","BET_ELIOTH_statut_raw","BET_ELIOTH_statut","BET_EGIS_date_raw","BET_EGIS_date","BET_EGIS_n","BET_EGIS_statut_raw","BET_EGIS_statut","BET_ASCAUDIT_date_raw","BET_ASCAUDIT_date","BET_ASCAUDIT_n","BET_ASCAUDIT_statut_raw","BET_ASCAUDIT_statut","BET_ASCENSEUR_date_raw","BET_ASCENSEUR_date","BET_ASCENSEUR_n","BET_ASCENSEUR_statut_raw","BET_ASCENSEUR_statut","BET_SPK_date_raw","BET_SPK_date","BET_SPK_n","BET_SPK_statut_raw","BET_SPK_statut","PAYSAGISTE_MUGO_date_raw","PAYSAGISTE_MUGO_date","PAYSAGISTE_MUGO_n","PAYSAGISTE_MUGO_statut_raw","PAYSAGISTE_MUGO_statut","doc_family_key","ind_sort_order","duplicate_flag","doc_version_key","revision_count","is_latest","previous_version_key","is_cross_lot","cross_lot_sheets","has_deadline","days_since_diffusion","days_until_deadline","is_overdue","days_overdue","total_assigned","replied","pending","approvers_vso","approvers_vao","approvers_ref","approvers_hm","relevant_approvers","missing_approvers","blocking_approvers","approver_response_summary","consensus_type","category","priority_score"
"LOT 41-CVC-AXIMA",165,"19_165","OK","","P17T2INEXEAXICVCI041RSXIZS5049605","P17T2INEXEAXICVCI041RSXIZS5049605","PLAN RESEAUX SS5","2024-10-31 00:00:00","2024-10-31","I041","RSX","SS5","","49605","E","E","","","","2024-10-31 00:00:00","2024-10-31","X","2024-11-15 00:00:00","2024-11-15","","","","MOEX_GEMO;ARCHI_MOX;BET_EGIS;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;SOCOTEC","","","","","","","","","","","","","","","","","","","","","","","","","","2025-11-05 00:00:00","2025-11-05","","HM","HM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P17T2INEXEAXICVCI041RSXIZS5049605",5,"UNIQUE","P17T2INEXEAXICVCI041RSXIZS5049605::E::LOT 41-CVC-AXIMA",3,True,"P17T2INEXEAXICVCI041RSXIZS5049605::D::LOT 41-CVC-AXIMA",False,"",True,506,-491,True,491,6,1,5,0,0,0,1,5,"MOEX_GEMO;ARCHI_MOX;BET_EGIS;ACOUSTICIEN_AVLS;SOCOTEC","","1/6 replied, 5 pending (1 HM)","NOT_STARTED","NOT_STARTED",45.0
"LOT 03-GOE-LGD",183,"2_183","OK","","P17T2INEXELGDGOEI003ARMI3FD028174","P17T2INEXELGDGOEI003ARMI3FD028174","Armatures Poteaux PH SS5 zone 1","2024-12-10 00:00:00","2024-12-10","I003","ARM","S5","I1","28174","C","C","","","","2024-12-10 00:00:00","2024-12-10","X","2024-12-25 00:00:00","2024-12-25","","","","MOEX_GEMO;ARCHI_MOX;BET_STR_TERRELL;BET_GEOLIA_G4;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;BET_POLLUTION_DIE;SOCOTEC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P17T2INEXELGDGOEI003ARMI3FD028174",3,"UNIQUE","P17T2INEXELGDGOEI003ARMI3FD028174::C::LOT 03-GOE-LGD",3,True,"P17T2INEXELGDGOEI003ARMI3FD028174::B::LOT 03-GOE-LGD",False,"",True,466,-451,True,451,8,0,8,0,0,0,0,8,"MOEX_GEMO;ARCHI_MOX;BET_STR_TERRELL;BET_GEOLIA_G4;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;BET_POLLUTION_DIE;SOCOTEC","","0/8 replied, 8 pending","NOT_STARTED","NOT_STARTED",45.0
"LOT 41-CVC-AXIMA",195,"19_195","OK","","P17T2BXEXEAXICVCB041NDCIZTX149213","P17T2BXEXEAXICVCB041NDCIZTX149213","BX : BILAN THERMIQUE","2024-12-18 00:00:00","2024-12-18","B041","NDC","TX","","149213","C","C","","1","","2024-12-18 00:00:00","2024-12-18","X","2025-01-02 00:00:00","2025-01-02","","","","MOEX_GEMO;ARCHI_MOX;BET_EGIS;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;SOCOTEC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025-02-11 00:00:00","2025-02-11","","VAO","VAO","","","","","","","","","","","","","","","","","","","","","P17T2BXEXEAXICVCB041NDCIZTX149213",3,"UNIQUE","P17T2BXEXEAXICVCB041NDCIZTX149213::C::LOT 41-CVC-AXIMA",3,True,"P17T2BXEXEAXICVCB041NDCIZTX149213::B::LOT 41-CVC-AXIMA",False,"",True,458,-443,True,443,6,1,5,0,1,0,0,6,"MOEX_GEMO;ARCHI_MOX;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;SOCOTEC","","1/6 replied, 5 pending (1 VAO)","INCOMPLETE","WAITING",45.0
"LOT 41-CVC-AXIMA",190,"19_190","OK","","P17T2BXEXEAXICVCB041NDCIZTX149211","P17T2BXEXEAXICVCB041NDCIZTX149211","BX : HYPOTHESES DE CALCULS","2024-12-20 00:00:00","2024-12-20","B041","NDC","TX","","149211","D","D","","1","","2024-12-20 00:00:00","2024-12-20","X","2025-01-04 00:00:00","2025-01-04","","","","MOEX_GEMO;ARCHI_MOX;BET_EGIS;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;SOCOTEC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025-01-30 00:00:00","2025-01-30","","VAO","VAO","","","","","","","","","","","","","","","","","","","","","P17T2BXEXEAXICVCB041NDCIZTX149211",4,"UNIQUE","P17T2BXEXEAXICVCB041NDCIZTX149211::D::LOT 41-CVC-AXIMA",4,True,"P17T2BXEXEAXICVCB041NDCIZTX149211::C::LOT 41-CVC-AXIMA",False,"",True,456,-441,True,441,6,1,5,0,1,0,0,6,"MOEX_GEMO;ARCHI_MOX;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;SOCOTEC","","1/6 replied, 5 pending (1 VAO)","INCOMPLETE","WAITING",45.0
"LOT 03-GOE-LGD",258,"2_258","OK","","P17T2INEXELGDGOEI003ARMI1S3028229","P17T2INEXELGDGOEI003ARMI1S3028229","Armatures poteaux - PH SS-3 - Zone 1","2025-01-28 00:00:00","2025-01-28","I003","ARM","S3","I1","28229","E","E","","","","2025-01-28 00:00:00","2025-01-28","X","2025-02-12 00:00:00","2025-02-12","","","","MOEX_GEMO;ARCHI_MOX;BET_STR_TERRELL;BET_GEOLIA_G4;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;BET_POLLUTION_DIE;SOCOTEC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P17T2INEXELGDGOEI003ARMI1S3028229",5,"UNIQUE","P17T2INEXELGDGOEI003ARMI1S3028229::E::LOT 03-GOE-LGD",3,True,"P17T2INEXELGDGOEI003ARMI1S3028229::D::LOT 03-GOE-LGD",False,"",True,417,-402,True,402,8,0,8,0,0,0,0,8,"MOEX_GEMO;ARCHI_MOX;BET_STR_TERRELL;BET_GEOLIA_G4;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;BET_POLLUTION_DIE;SOCOTEC","","0/8 replied, 8 pending","NOT_STARTED","NOT_STARTED",45.0
"LOT 03-GOE-LGD",300,"2_300","OK","","P17_T2_IN_EXE_LGD_GOE_I003_ARM_I1_S2_028259","P17_T2_IN_EXE_LGD_GOE_I003_ARM_I1_S2_028259","Armatures Verticaux - PH SS-2 - Zone 1","2025-02-17 00:00:00","2025-02-17","I003","ARM","S2","I1","28259","D","D","","","","2025-02-17 00:00:00","2025-02-17","X","2025-03-04 00:00:00","2025-03-04","","","","MOEX_GEMO;ARCHI_MOX;BET_STR_TERRELL;BET_GEOLIA_G4;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;BET_POLLUTION_DIE;SOCOTEC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P17T2INEXELGDGOEI003ARMI1S2028259",4,"UNIQUE","P17T2INEXELGDGOEI003ARMI1S2028259::D::LOT 03-GOE-LGD",3,True,"P17T2INEXELGDGOEI003ARMI1S2028259::C::LOT 03-GOE-LGD",False,"",True,397,-382,True,382,8,0,8,0,0,0,0,8,"MOEX_GEMO;ARCHI_MOX;BET_STR_TERRELL;BET_GEOLIA_G4;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;BET_POLLUTION_DIE;SOCOTEC","","0/8 replied, 8 pending","NOT_STARTED","NOT_STARTED",45.0
"LOT 42-PLB-UTB",157,"20_157","OK","","P17T2INEXEUTBPLBI042NDCIZTX050809","P17T2INEXEUTBPLBI042NDCIZTX050809","NDC EAU FROIDE SANITAIRE - ADOUCISSEUR-09","2025-03-21 00:00:00","2025-03-21","I042","NDC","TX","","50809","C","C","","","","2025-03-21 00:00:00","2025-03-21","X","2025-04-05 00:00:00","2025-04-05","","","","MOEX_GEMO;ARCHI_MOX;BET_EGIS;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;SOCOTEC","","","","","","","","","","","","","","","","","","","","","","","","","","2025-09-12 00:00:00","2025-09-12","","HM","HM","","","","","","","","","","","","","","","","2025-04-04 00:00:00","2025-04-04","","VSO","VSO","","","","","","","","","","","","","","","","","","","","","P17T2INEXEUTBPLBI042NDCIZTX050809",3,"UNIQUE","P17T2INEXEUTBPLBI042NDCIZTX050809::C::LOT 42-PLB-UTB",3,True,"P17T2INEXEUTBPLBI042NDCIZTX050809::B::LOT 42-PLB-UTB",False,"",True,365,-350,True,350,6,2,4,1,0,0,1,5,"MOEX_GEMO;ARCHI_MOX;ACOUSTICIEN_AVLS;SOCOTEC","","2/6 replied, 4 pending (1 VSO, 1 HM)","INCOMPLETE","WAITING",45.0
"LOT 31 à 34-IN-BX-CFO-BENTIN",36,"17_36","OK","","P17T2INEXEBENCFOI031SYQTZTX045004","P17T2INEXEBENCFOI031SYQTZTX045004","NOTE DE CALCULS D'ECLAIREMENT PARKING","2025-03-24 00:00:00","2025-03-24","I031","SYQ","TX","","45004","C","C","","","","2025-03-24 00:00:00","2025-03-24","X","2025-04-08 00:00:00","2025-04-08","","","","MOEX_GEMO;ARCHI_MOX;BET_EGIS;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;SOCOTEC","2025-03-26 00:00:00","2025-03-26","SAS
REF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P17T2INEXEBENCFOI031SYQTZTX045004",3,"SUSPECT","P17T2INEXEBENCFOI031SYQTZTX045004::C::LOT 31 à 34-IN-BX-CFO-BENTIN",3,True,"P17T2INEXEBENCFOI031SYQTZTX045004::B::LOT 31 à 34-IN-BX-CFO-BENTIN",False,"",True,362,-347,True,347,6,0,6,0,0,0,0,6,"MOEX_GEMO;ARCHI_MOX;BET_EGIS;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;SOCOTEC","","0/6 replied, 6 pending","NOT_STARTED","NOT_STARTED",45.0
"LOT 31 à 34-IN-BX-CFO-BENTIN",119,"17_119","OK","","P17T2INEXEBENCFOI031TMXTZTS5045030","P17T2INEXEBENCFOI031TMXTZTS5045030","PLAN DE CABLAGE ECLAIRAGE S5","2025-03-24 00:00:00","2025-03-24","I031","TMX","SS5","","45030","C","C","","1","","2025-03-24 00:00:00","2025-03-24","X","2025-04-08 00:00:00","2025-04-08","","","","MOEX_GEMO;ARCHI_MOX;BET_EGIS;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;SOCOTEC","","","","","","2025-04-23 00:00:00","2025-04-23","","REF","REF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P17T2INEXEBENCFOI031TMXTZTS5045030",3,"UNIQUE","P17T2INEXEBENCFOI031TMXTZTS5045030::C::LOT 31 à 34-IN-BX-CFO-BENTIN",3,True,"P17T2INEXEBENCFOI031TMXTZTS5045030::B::LOT 31 à 34-IN-BX-CFO-BENTIN",False,"",True,362,-347,True,347,6,1,5,0,0,1,0,6,"MOEX_GEMO;BET_EGIS;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;SOCOTEC","ARCHI_MOX","1/6 replied, 5 pending (1 REF)","INCOMPLETE","WAITING",45.0
"LOT 03-GOE-LGD",387,"2_387","OK","","P17_T2_IN_EXE_LGD_GOE_I003_ARM_I1_S1_028292","P17_T2_IN_EXE_LGD_GOE_I003_ARM_I1_S1_028292","Armatures poutres CEP & BP - PH SS-1","2025-04-18 00:00:00","2025-04-18","I003","ARM","S1","I1","28292","C","C","","","","2025-04-18 00:00:00","2025-04-18","X","2025-05-03 00:00:00","2025-05-03","","","","MOEX_GEMO;ARCHI_MOX;BET_STR_TERRELL;BET_GEOLIA_G4;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;BET_POLLUTION_DIE;SOCOTEC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P17T2INEXELGDGOEI003ARMI1S1028292",3,"UNIQUE","P17T2INEXELGDGOEI003ARMI1S1028292::C::LOT 03-GOE-LGD",3,True,"P17T2INEXELGDGOEI003ARMI1S1028292::B::LOT 03-GOE-LGD",False,"",True,337,-322,True,322,8,0,8,0,0,0,0,8,"MOEX_GEMO;ARCHI_MOX;BET_STR_TERRELL;BET_GEOLIA_G4;ACOUSTICIEN_AVLS;AMO_HQE_LE_SOMMER;BET_POLLUTION_DIE;SOCOTEC","","0/8 replied, 8 pending","NOT_STARTED","NOT_STARTED",45.0
